gene_name	biotype_99	biotype_110	status
ULK4P2	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
ULK4P3	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
URAHP	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
USP41	protein_coding	transcribed_unprocessed_pseudogene	LOSS
VDR	polymorphic_pseudogene	protein_coding	GAIN
VEGFA	polymorphic_pseudogene	protein_coding	GAIN
VENTXP1	lncRNA	transcribed_processed_pseudogene	LOSS
VN1R5	polymorphic_pseudogene	protein_coding	GAIN
WASH2P	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
WASH6P	transcribed_unprocessed_pseudogene	protein_coding	GAIN
XKRY	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
YWHAEP7	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
ZNF252P	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
ZNF286B	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
ZNF300P1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
ZNF542P	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
ZNF767P	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
ZNF876P	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
